Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat
26.04.2021,Pazartesi,SOGAN (KURU),Kg,"0,8","1,5"
26.04.2021,Pazartesi,SOGAN (KIRMIZI),Kg,3,"4,5"
26.04.2021,Pazartesi,SOGAN (YEŞİL),Kg,3,5
26.04.2021,Pazartesi,TERE,Bağ,"0,5","1,2"
26.04.2021,Pazartesi,TURP (MUHTELİF),Kg,"1,5",3
29.04.2021,Perşembe,BAKLA,Kg,3,"5,5"
29.04.2021,Perşembe,BİBER (CİN),Kg,13,18
29.04.2021,Perşembe,BİBER (ÇARLİ),Kg,"3,5",6
29.04.2021,Perşembe,BİBER (DOLMA),Kg,4,6
29.04.2021,Perşembe,BİBER (KIL),Kg,4,7
29.04.2021,Perşembe,BİBER (KAPYA),Kg,"8,5",17
29.04.2021,Perşembe,BİBER (SİVRİ),Kg,3,5
29.04.2021,Perşembe,BİBER (KÖY),Kg,3,5
29.04.2021,Perşembe,BROKOLİ,Kg,6,9
29.04.2021,Perşembe,DERE OTU,Bağ,"0,5",1
29.04.2021,Perşembe,DOMATES (Çeri),Kg,7,10
29.04.2021,Perşembe,DOMATES (MUHTELİF),Kg,"2,5",5
29.04.2021,Perşembe,DOMATES (SALKIM),Kg,4,7
29.04.2021,Perşembe,DOMATES (KÖY),Kg,4,"6,5"
29.04.2021,Perşembe,EKŞİ OT (BAĞ),Bağ,"0,5",1
29.04.2021,Perşembe,ENGİNAR (ADET),Adet,5,7
29.04.2021,Perşembe,FASULYE (MUHTELİF),Kg,8,15
29.04.2021,Perşembe,FESLEĞEN (REYHAN),Bağ,1,2
29.04.2021,Perşembe,HAVUÇ,Kg,1,"2,5"
29.04.2021,Perşembe,ISPANAK,Kg,"1,5",3
29.04.2021,Perşembe,KABAK (BAL),Kg,1,2
29.04.2021,Perşembe,KABAK (BEYAZ),Kg,"2,5",5
29.04.2021,Perşembe,KABAK (KARA),Kg,"2,5",4
29.04.2021,Perşembe,KARNABAHAR,Kg,1,"2,5"
29.04.2021,Perşembe,KEREVİZ,Kg,2,4
29.04.2021,Perşembe,LAHANA (BEYAZ),Kg,"0,7","1,8"
29.04.2021,Perşembe,LAHANA (MOR),Kg,1,2
29.04.2021,Perşembe,MANTAR (KÜLTÜR),Kg,7,14
29.04.2021,Perşembe,MARUL (AYSBERK),Adet,"3,5","4,8"
29.04.2021,Perşembe,MARUL (MOR),Adet,"2,5",4
29.04.2021,Perşembe,MARUL (MUHTELİF),Adet,3,"4,8"
29.04.2021,Perşembe,MAYDONOZ,Bağ,"0,5","1,1"
29.04.2021,Perşembe,NANE (BAĞ),Bağ,"0,7","1,2"
29.04.2021,Perşembe,PANCAR (KIRMIZI),Kg,"1,5","2,5"
29.04.2021,Perşembe,PATATES,Kg,"0,8","1,7"
29.04.2021,Perşembe,PATATES (TAZE),Kg,"1,5","2,5"
29.04.2021,Perşembe,PATLICAN (KEMER),Kg,2,4
29.04.2021,Perşembe,PATLICAN (TOPAK),Kg,"1,5","3,5"
29.04.2021,Perşembe,PIRASA,Kg,1,"2,5"
29.04.2021,Perşembe,ROKA (BAĞ),Bağ,"0,5","1,2"
29.04.2021,Perşembe,SALATALIK (SİLOR),Kg,3,"5,5"
29.04.2021,Perşembe,SALATALIK (MUHTELİF),Kg,2,4
29.04.2021,Perşembe,SARIMSAK (KURU),Kg,15,30
29.04.2021,Perşembe,SEMİZ OTU (BAĞ),Bağ,1,2
29.04.2021,Perşembe,SOGAN (KURU),Kg,"0,8","1,5"
29.04.2021,Perşembe,SOGAN (KIRMIZI),Kg,3,"4,5"
29.04.2021,Perşembe,SOGAN (YEŞİL),Kg,3,5
29.04.2021,Perşembe,TERE,Bağ,"0,5","1,2"
29.04.2021,Perşembe,TURP (MUHTELİF),Kg,"1,5",3
03.05.2021,Pazartesi,BAKLA,Kg,3,"5,5"
03.05.2021,Pazartesi,BİBER (CİN),Kg,10,15
03.05.2021,Pazartesi,BİBER (ÇARLİ),Kg,"2,5",4
03.05.2021,Pazartesi,BİBER (DOLMA),Kg,3,5
03.05.2021,Pazartesi,BİBER (KIL),Kg,3,"5,5"
03.05.2021,Pazartesi,BİBER (KAPYA),Kg,"8,5",17
03.05.2021,Pazartesi,BİBER (SİVRİ),Kg,3,"4,5"
03.05.2021,Pazartesi,BİBER (KÖY),Kg,3,"4,5"
03.05.2021,Pazartesi,BROKOLİ,Kg,6,9
03.05.2021,Pazartesi,DERE OTU,Bağ,"0,5",1
03.05.2021,Pazartesi,DOMATES (Çeri),Kg,5,8
03.05.2021,Pazartesi,DOMATES (MUHTELİF),Kg,"2,5",4
03.05.2021,Pazartesi,DOMATES (SALKIM),Kg,3,"6,5"
03.05.2021,Pazartesi,DOMATES (KÖY),Kg,3,"5,5"
03.05.2021,Pazartesi,EKŞİ OT (BAĞ),Bağ,"0,5",1
03.05.2021,Pazartesi,ENGİNAR (ADET),Adet,5,7
03.05.2021,Pazartesi,FASULYE (MUHTELİF),Kg,4,8
03.05.2021,Pazartesi,FESLEĞEN (REYHAN),Bağ,1,2
03.05.2021,Pazartesi,HAVUÇ,Kg,1,"2,5"
03.05.2021,Pazartesi,ISPANAK,Kg,"1,5",3
03.05.2021,Pazartesi,KABAK (BAL),Kg,1,2
03.05.2021,Pazartesi,KABAK (BEYAZ),Kg,"1,5",4
03.05.2021,Pazartesi,KABAK (KARA),Kg,"1,5",3
03.05.2021,Pazartesi,KARNABAHAR,Kg,1,"2,5"
